judul_lagu;artist;mood;link_play
STAY (with Justin Bieber);The Kid LAROI;Energetic;https://open.spotify.com/track/5HCyWlXZPP0y6Gqq8TgA20
Cinta Luar Biasa;Andmesh;Sad;https://open.spotify.com/track/1JxoK0EU5SHupbXjSwYaN7
Location Unknown ◐ (feat. BEKA) - Brooklyn Session;HONNE;Sad;https://open.spotify.com/track/43kiDtoYD0nDJYxzQwclpT
Every Summertime;NIKI;Happy;https://open.spotify.com/track/68HocO7fx9z0MgDU0ZPHro
happy;Skinnyfabs;Calm;https://open.spotify.com/track/6YTmsdqH5LZzCGIY0lqloD
Right Now;One Direction;Energetic;https://open.spotify.com/track/1dQQ2QlnvXUehsRUrukKmf
Adu Rayu;Yovie Widianto;Sad;https://open.spotify.com/track/0mOLyv1GL4sIuzVR1I92Fb
Remaja;Hivi!;Sad;https://open.spotify.com/track/3O9OibrJm0vSYxZjz3Pooe
Strawberries & Cigarettes;Troye Sivan;Energetic;https://open.spotify.com/track/3afkJSKX0EAMsJXTZnDXXJ
Kangen;Dewa 19;Happy;https://open.spotify.com/track/6VggIDYOnf9C8fJVcMpxAu
I Love You 3000;Stephanie Poetri;Sad;https://open.spotify.com/track/3znQ9i61vfe2E7URHlOiyc
Wish You Were Here;Neck Deep;Sad;https://open.spotify.com/track/4Ssi6tKwrTHi5qvDndrZRP
I Just Couldn't Save You Tonight - Story of Kale - Original Motion Picture Soundtrack;Ardhito Pramono;Sad;https://open.spotify.com/track/5AkV53fo1u01mi8r22JNeF
Akhir Tak Bahagia;Misellia;Sad;https://open.spotify.com/track/0BYoWATcndOBcsCfKdTKRx
Janji Setia;Tiara Andini;Sad;https://open.spotify.com/track/1AoBdDIOp6RFjAbzcPbWi8
I Wanna Be Yours;Arctic Monkeys;Happy;https://open.spotify.com/track/5XeFesFbtLpXzIVDNQP22n
THE SHADE;Rex Orange County;Happy;https://open.spotify.com/track/1gH1h30wkQdd9zhY3j7a8T
Señorita;Shawn Mendes;Happy;https://open.spotify.com/track/0TK2YIli7K1leLovkQiNik
2002;Anne-Marie;Happy;https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
At My Worst;Pink Sweat$;Calm;https://open.spotify.com/track/0ri0Han4IRJhzvERHOZTMr
Pura Pura Lupa;Mahen;Sad;https://open.spotify.com/track/6Aw5k0jkFceYayaJoRupLT
Semata Karenamu;Mario G klau;Sad;https://open.spotify.com/track/1SWBzZg6n9JZq7bnXxPPai
Usai;Tiara Andini;Sad;https://open.spotify.com/track/3nHxZEe1dT7zs73DG6pNll
Pilihan Yang Terbaik;Ziva Magnolya;Sad;https://open.spotify.com/track/7BhRGeqNpBw1QilknM0svo
Fall In Love Alone;Stacey Ryan;Happy;https://open.spotify.com/track/5xwBIieMMFUmLDgvG4DjFe
Cheating on You;Charlie Puth;Happy;https://open.spotify.com/track/0ClPIeT6MSgfSgQ9ZrJbAq
Tolong;Budi Doremi;Sad;https://open.spotify.com/track/5X5Vj8FcxyoLzq9qxAa45U
"Andaikan Kau Datang - From ""Miracle in Cell No. 7""";Andmesh;Sad;https://open.spotify.com/track/7mZxM64cMYQdx2vopaGrDf
Old Love;yuji;Sad;https://open.spotify.com/track/3W4U7TEgILGpq0EmquurtH
Melukis Senja;Budi Doremi;Sad;https://open.spotify.com/track/0ZEYRVISCaqz5yamWZWzaA
Perfect;Ed Sheeran;Sad;https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
Boy With Luv (feat. Halsey);BTS;Happy;https://open.spotify.com/track/4a9tbd947vo9K8Vti9JwcI
Before You Go;Lewis Capaldi;Sad;https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
Pamit;Tulus;Sad;https://open.spotify.com/track/3B4VP6swG49n3scg2aMfA6
Celengan Rindu;Fiersa Besari;Happy;https://open.spotify.com/track/19JvKc2f3ZNblfBSDMDwUF
Maafkan Aku #terlanjurmencinta;Tiara Andini;Sad;https://open.spotify.com/track/0ZoBl7pWhdjnj4eIe9I11o
comethru;Jeremy Zucker;Calm;https://open.spotify.com/track/18uwL0vNUanqZH0ro2QcOP
I Like Me Better;Lauv;Calm;https://open.spotify.com/track/0EcQcdcbQeVJn9fknj44Be
Dynamite;BTS;Happy;https://open.spotify.com/track/5QDLhrAOJJdNAmCTJ8xMyW
drivers license;Olivia Rodrigo;Sad;https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
Heat Waves;Glass Animals;Calm;https://open.spotify.com/track/3USxtqRwSYz57Ewm6wWRMp
Cintamu Sepahit Topi Miring;Jogja Hip Hop Foundation;Energetic;https://open.spotify.com/track/1ixNEKbIZTTZ5LIz3rr9jD
Sesuatu Di Jogja;Adhitia Sofyan;Sad;https://open.spotify.com/track/0MAIxtXWimwhAAQOST9jp7
Tampar;Juicy Luicy;Sad;https://open.spotify.com/track/2RHm5IDIZ8fYRGzBIo7exV
Benci Untuk Mencinta;Naif;Sad;https://open.spotify.com/track/65PjFLm6X567f52At4CI1N
Pelukku Untuk Pelikmu - OST Imperfect: Karier, Cinta, & Timbangan;Fiersa Besari;Energetic;https://open.spotify.com/track/5sgRYOTpFZRROlndD460KI
I Still Love You;TheOvertunes;Sad;https://open.spotify.com/track/4reIsHKw5hUj4pV8zzMjLA
Ditto;NewJeans;Energetic;https://open.spotify.com/track/3r8RuvgbX9s7ammBn07D3W
Aku Yang Salah;Mahalini;Sad;https://open.spotify.com/track/0OgwkVbQ4jVfsZJO4Xs9hC
Angels Like You;Miley Cyrus;Happy;https://open.spotify.com/track/1daDRI9ahBonbWD8YcxOIB
Somewhere Only We Know;Keane;Energetic;https://open.spotify.com/track/1SKPmfSYaPsETbRHaiA18G
April;Fiersa Besari;Sad;https://open.spotify.com/track/3IesVVqYxCsRCsz5OCmC7q
Heartbreak Anniversary;Giveon;Sad;https://open.spotify.com/track/2QfznFotJNZmnIEYFdzE5T
Anything You Want;Reality Club;Energetic;https://open.spotify.com/track/2QB8FwOszur18Ai7t2XnNi
Hanya Rindu;Andmesh;Sad;https://open.spotify.com/track/2wLpTF8xnsSHDpFGeV43DT
Bicara (feat. Monita Tahalea);TheOvertunes;Sad;https://open.spotify.com/track/1Dxb9nWV16f5PthsUsV1XZ
Takut;Idgitaf;Sad;https://open.spotify.com/track/1qHddOZ7pwtmOsw0RmlKFx
Peri Cintaku;Ziva Magnolya;Sad;https://open.spotify.com/track/5cASSQjKWI5ox8LykUtJGL
Terlukis Indah;Rizky Febian;Happy;https://open.spotify.com/track/5S8TtEVuFPY9XEjg2hNWHa
deja vu;Olivia Rodrigo;Sad;https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
Photograph;Ed Sheeran;Sad;https://open.spotify.com/track/1HNkqx9Ahdgi1Ixy2xkKkL
Left and Right (Feat. Jung Kook of BTS);Charlie Puth;Happy;https://open.spotify.com/track/0mBP9X2gPCuapvpZ7TGDk3
Hampa;Ari Lasso;Sad;https://open.spotify.com/track/6bE0o9hYUPYlokZIH79oM0
OMG;NewJeans;Happy;https://open.spotify.com/track/65FftemJ1DbbZ45DUfHJXE
Takkan Terganti;Marcell;Sad;https://open.spotify.com/track/0T4t1PywlNmJGcveGH5spB
On My Way;Alan Walker;Energetic;https://open.spotify.com/track/4n7jnSxVLd8QioibtTDBDq
Jangan Rubah Takdirku;Andmesh;Sad;https://open.spotify.com/track/6MczIMSdoZyw8EBPhihazN
bitterlove;Ardhito Pramono;Sad;https://open.spotify.com/track/74OLXYsvpfmSgPCMMi898K
18;One Direction;Sad;https://open.spotify.com/track/3JjnGLK8IxkNLvo8Lb3KOM
Talking to the Moon;Bruno Mars;Sad;https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU
P.S. I LOVE YOU;Paul Partohap;Sad;https://open.spotify.com/track/1w3azB0VuRFp79AduIwrIy
Now I Know;Kaleb J;Energetic;https://open.spotify.com/track/6HGcSuP89aoRvqLIAjcT8B
Labirin;Tulus;Sad;https://open.spotify.com/track/0pDmW5AOpl1Wi58Ob0xXB8
Fana Merah Jambu;Fourtwnty;Sad;https://open.spotify.com/track/463XKKFCPlcrhtlwGbEovu
Cupid - Twin Ver.;FIFTY FIFTY;Happy;https://open.spotify.com/track/7FbrGaHYVDmfr7KoLIZnQ7
Without Me;Halsey;Happy;https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ
Mungkin Hari Ini Esok Atau Nanti;Anneth;Sad;https://open.spotify.com/track/7n5nvulc1oW1ErpeTrNezI
Lebih Dari Egoku;Mawar de Jongh;Sad;https://open.spotify.com/track/4vh193RZbEEBanSG0719Wh
You Are The Reason;Calum Scott;Sad;https://open.spotify.com/track/69vToJ9BMbbLlFZo7k7A7B
Atlantis;Seafret;Energetic;https://open.spotify.com/track/1Fid2jjqsHViMX6xNH70hE
I Don't Care (with Justin Bieber);Ed Sheeran & Justin Bieber;Happy;https://open.spotify.com/track/3HVWdVOQ0ZA45FuZGSfvns
Strong;One Direction;Energetic;https://open.spotify.com/track/3cKM7UXBZmgjEgEBTkaIlU
Die For You (with Ariana Grande) - Remix;The Weeknd;Happy;https://open.spotify.com/track/4JNdwEfqwFRiAeEISC8RU8
Orang Yang Sama;Virgoun;Sad;https://open.spotify.com/track/0z7jhodL97W88al5OI1zh1
Bagaimana Kalau Aku Tidak Baik Baik Saja;Judika;Sad;https://open.spotify.com/track/7As3vd7OvJwyGUsZfNtHce
Bahaya;Arsy Widianto;Sad;https://open.spotify.com/track/45FQZlkNDDHg4pzyjiLQkc
C.H.R.I.S.Y.E.;Diskoria;Energetic;https://open.spotify.com/track/42si4ikg5dh732gPuQ0xHb
Sudah - Story of Kale - Original Motion Picture Soundtrack;Ardhito Pramono;Sad;https://open.spotify.com/track/5QGdWvXwXMK2Zx6eKagyue
Kenangan Terindah;SAMSONS;Sad;https://open.spotify.com/track/5TtmfZaNSYEcTR49cureT0
Amin Paling Serius;Sal Priadi;Sad;https://open.spotify.com/track/1q1dsfckKMgjfr8DfdeKfs
High School in Jakarta;NIKI;Sad;https://open.spotify.com/track/5rbuv6zso7QSaKt265H3M3
Happier Than Ever;Billie Eilish;Sad;https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
Lily;Alan Walker;Happy;https://open.spotify.com/track/0lks2Kt9veMOFEAPN0fsqN
LIMBO;keshi;Sad;https://open.spotify.com/track/2bdVgAQgosGUJoViVDNeOV
Best Friend;Rex Orange County;Sad;https://open.spotify.com/track/3rPtS4nfpy7PsARctAWpzd
golden hour;JVKE;Sad;https://open.spotify.com/track/4yNk9iz9WVJikRFle3XEvn
SNAP;Rosa Linn;Happy;https://open.spotify.com/track/76OGwb5RA9h4FxQPT33ekc
Enchanted;Taylor Swift;Energetic;https://open.spotify.com/track/04S1pkp1VaIqjg8zZqknR5
keepyousafe;Yahya;Sad;https://open.spotify.com/track/3Sbova9DAY3pc9GTAACT4b
Pink Venom;BLACKPINK;Happy;https://open.spotify.com/track/7EyhPjrJzjx0fk2i7vUJCS
Cuek;Rizky Febian;Sad;https://open.spotify.com/track/7epRdWkt0hSeQd6AmZDqkY
Sewindu;Tulus;Sad;https://open.spotify.com/track/0nXXgjpcisM0bheuDZHAub
Nyaman;Andmesh;Sad;https://open.spotify.com/track/1sxUn0SdlFG05Q3qAA2FlE
thank u, next;Ariana Grande;Energetic;https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
Leave The Door Open;Bruno Mars;Happy;https://open.spotify.com/track/4pryE6cN2gFL1FVF5fYINl
Shut Down;BLACKPINK;Happy;https://open.spotify.com/track/6tCd8bPvYnceDG7W9M1RMk
Kota;Dere;Sad;https://open.spotify.com/track/0SeBJ2sAl8CV58kBfpd5va
Hitam Putih;Fourtwnty;Sad;https://open.spotify.com/track/0O6g2QFUhuLqRzGqhyzrIu
Lose;NIKI;Sad;https://open.spotify.com/track/5vPO5ouEv8iedKWxzmSv7b
Unconditionally;Katy Perry;Energetic;https://open.spotify.com/track/009ImBOrIUlWgla8U05RAC
death bed (coffee for your head);Powfu;Sad;https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
Intentions;Justin Bieber;Happy;https://open.spotify.com/track/364dI1bYnvamSnBJ8JcNzN
Car's Outside;James Arthur;Energetic;https://open.spotify.com/track/0otRX6Z89qKkHkQ9OqJpKt
Manusia Bodoh;Ada Band;Sad;https://open.spotify.com/track/0pVujrkHwuN9nAN9zGcEyy
Sampai Jadi Debu (Menampilkan Gardika Gigih);Banda Neira;Sad;https://open.spotify.com/track/0ROj512WvJ1eqeELd7MEdJ
Tak Ingin Pisah Lagi;Marion Jola;Sad;https://open.spotify.com/track/67L0rPX2z7n44XBYStoHDg
Psycho;Red Velvet;Energetic;https://open.spotify.com/track/3CYH422oy1cZNoo0GTG1TK
Anti-Hero;Taylor Swift;Happy;https://open.spotify.com/track/0V3wPSX9ygBnCm8psDIegu
Yellow;Coldplay;Energetic;https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg
Risalah Hati;Pamungkas;Sad;https://open.spotify.com/track/5h51lTy1jYDDkYLALQrzX9
Saat Kau Telah Mengerti;Virgoun;Sad;https://open.spotify.com/track/22k5lgD5F7Pc7BodEMzDrY
Sunday Best;Surfaces;Happy;https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
Dance Monkey;Tones And I;Calm;https://open.spotify.com/track/2XU0oxnq2qxCpomAAuJY8K
"A Whole New World (End Title) - From ""Aladdin""";ZAYN;Sad;https://open.spotify.com/track/1iWHabUgUuuKLBa0TzTHfk
Too Good At Goodbyes;Sam Smith;Sad;https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
Sanctuary;Joji;Sad;https://open.spotify.com/track/0rOLFkjY5DSIViVBNnzOuK
1000 Tahun Lamanya;Tulus;Calm;https://open.spotify.com/track/2x9UGhofPBZdeam4uZCUID
Pupus;Hanin Dhiya;Sad;https://open.spotify.com/track/4za8UJq7JI99ilRYQXVrkm
Line Without a Hook;Ricky Montgomery;Happy;https://open.spotify.com/track/5NvOZCjZaGGGL597exlQWv
Tentang Rindu;Virzha;Energetic;https://open.spotify.com/track/0Xu6oMOzyXykITJNfC2dsq
Closer;The Chainsmokers;Happy;https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
Butter;BTS;Happy;https://open.spotify.com/track/1mWdTewIgB3gtBM3TOSFhB
Way Back Home;SHAUN;Happy;https://open.spotify.com/track/3NxuezMdSLgt4OwHzBoUhL
Menyesal;Yovie Widianto;Sad;https://open.spotify.com/track/29lBFGkfr7EoJlb3lxi9Ij
Payphone;Maroon 5;Happy;https://open.spotify.com/track/1XGmzt0PVuFgQYYnV2It7A
Secret Love Song (feat. Jason Derulo);Little Mix;Energetic;https://open.spotify.com/track/6KHL1En9v6iNWjcs44mcmU
10,000 Hours (with Justin Bieber);Dan + Shay;Happy;https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
When I Was Your Man;Bruno Mars;Sad;https://open.spotify.com/track/0nJW01T7XtvILxQgC5J7Wh
Know Me Too Well;New Hope Club;Happy;https://open.spotify.com/track/3evNCP0dfoI8lXvSF1tRnN
Girls Like You;Maroon 5;Sad;https://open.spotify.com/track/7npLlaPu9Mfno8hjk5OagD
You - 2007 Remaster;Ten2Five;Calm;https://open.spotify.com/track/4p7IAleWshNIxPZgXjuAxZ
Hype Boy;NewJeans;Happy;https://open.spotify.com/track/0a4MMyCrzT0En247IhqZbD
How You Like That;BLACKPINK;Energetic;https://open.spotify.com/track/6bvZRLLkBKkmgpBJTTj3QK
Life Goes On;BTS;Energetic;https://open.spotify.com/track/5FVbvttjEvQ8r2BgUcJgNg
Somebody's Pleasure;Aziz Hedra;Sad;https://open.spotify.com/track/3e1rs346dsDDwpqTRGlRZR
Menjadi Dia;Tiara Andini;Sad;https://open.spotify.com/track/3Z0K4sFU1fOiBOe7Nf3kix
Something Just Like This;The Chainsmokers;Happy;https://open.spotify.com/track/1dNIEtp7AY3oDAKCGg2XkH
La La Lost You - Acoustic Version;NIKI;Sad;https://open.spotify.com/track/5WkCcSa78lM1Ym4LXzJUiN
Makna Cinta;Rizky Febian;Happy;https://open.spotify.com/track/3yDaw1mQrhDSAOCZTF01KD
Teman Bahagia;Jaz;Happy;https://open.spotify.com/track/0KeK6xqEcTT1VWhHf5iw2d
Akad;Payung Teduh;Happy;https://open.spotify.com/track/5CwcXgsF9jcyqwkl5uxKnD
It Will Rain;Bruno Mars;Happy;https://open.spotify.com/track/0M3HkE321xpCbCYqVKzr1q
good 4 u;Olivia Rodrigo;Happy;https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
Dengan Caraku;Arsy Widianto;Sad;https://open.spotify.com/track/6zZMfagNj5Nr8rSdJ9KLqq
About You;The 1975;Calm;https://open.spotify.com/track/1fDFHXcykq4iw8Gg7s5hG9
Seberapa Pantas;Sheila On 7;Happy;https://open.spotify.com/track/1BaGfrlIWinaF77p7QASBH
My Universe;Coldplay;Energetic;https://open.spotify.com/track/3FeVmId7tL5YN8B7R3imoM
Kiss Me More (feat. SZA);Doja Cat;Happy;https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
Shape of You;Ed Sheeran;Happy;https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
Aku Tenang;Fourtwnty;Sad;https://open.spotify.com/track/2tO8xKwSF82hUZp0sOMLM6
DARARI;TREASURE;Happy;https://open.spotify.com/track/0dcnrLo8s1rhjm8euGjI4n
Rehat;Kunto Aji;Calm;https://open.spotify.com/track/7mjO4RbTZIb1SfE8G673Lm
Ruang Rindu;Letto;Sad;https://open.spotify.com/track/3R7e2jGs4kNDvkzEvqcnsc
Terpikat Senyummu;Idgitaf;Sad;https://open.spotify.com/track/5AEHGqE2QT26cWTx8MNJl2
ONLY;LeeHi;Sad;https://open.spotify.com/track/6TBJkXHPhu3EsMk1bshwuI
Rahmatun Lil’Alameen;Maher Zain;Sad;https://open.spotify.com/track/4gcQ4sBOIX8s510XrNZQUA
positions;Ariana Grande;Happy;https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
Dekat Di Hati;RAN;Sad;https://open.spotify.com/track/0owU9W5gPsJEcwAmMjzomy
Rayu;Marion Jola;Sad;https://open.spotify.com/track/4rAWADK2zYdjx2ar2Hp1C8
SOLO;JENNIE;Energetic;https://open.spotify.com/track/1R0hxCA5R7z5TiaXBZR7Mf
Seperti Kisah;Rizky Febian;Sad;https://open.spotify.com/track/6m1HyCmA5jt4Uy0mrS757Y
Come Inside Of My Heart;IV Of Spades;Happy;https://open.spotify.com/track/3Eb5sztvEMa0Mqnb8DUAlU
Indah Pada Waktunya;Rizky Febian;Sad;https://open.spotify.com/track/28Gd45dRqr92unRNIOxSWZ
Belum Siap Kehilangan;Stevan Pasaribu;Sad;https://open.spotify.com/track/56Uibq6ur2xwUpSd9biBH1
Make You Mine;PUBLIC;Happy;https://open.spotify.com/track/5iFwAOB2TFkPJk8sMlxP8g
Bentuk Cinta;Eclat Story;Sad;https://open.spotify.com/track/4J12uL4aNKzRco173fPyYQ
Bawalah Cintaku;Afgan;Calm;https://open.spotify.com/track/3xpMytpniCnjXCgy7TcFDw
Peaches (feat. Daniel Caesar & Giveon);Justin Bieber;Happy;https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
